row,col,temp
0.0,0.0,-9999.0
0.0,1.0,-9999.0
0.0,2.0,-9999.0
0.0,3.0,-9999.0
0.0,4.0,-9999.0
0.0,5.0,-9999.0
0.0,6.0,-9999.0
0.0,7.0,-9999.0
0.0,8.0,-9999.0
0.0,9.0,-9999.0
0.0,10.0,-9999.0
0.0,11.0,-9999.0
0.0,12.0,-9999.0
0.0,13.0,-9999.0
0.0,14.0,-9999.0
0.0,15.0,-9999.0
0.0,16.0,-9999.0
0.0,17.0,-9999.0
0.0,18.0,-9999.0
0.0,19.0,-9999.0
0.0,20.0,-9999.0
0.0,21.0,-9999.0
0.0,22.0,-9999.0
0.0,23.0,-9999.0
0.0,24.0,-9999.0
0.0,25.0,-9999.0
0.0,26.0,-9999.0
0.0,27.0,-9999.0
0.0,28.0,-9999.0
0.0,29.0,-9999.0
0.0,30.0,-9999.0
0.0,31.0,-9999.0
0.0,32.0,-9999.0
0.0,33.0,-9999.0
0.0,34.0,-9999.0
0.0,35.0,-9999.0
0.0,36.0,-9999.0
0.0,37.0,-9999.0
0.0,38.0,-9999.0
0.0,39.0,-9999.0
0.0,40.0,-14.792257
0.0,41.0,-12.955802
0.0,42.0,-9999.0
0.0,43.0,-9999.0
0.0,44.0,-9999.0
0.0,45.0,-9999.0
0.0,46.0,-9999.0
0.0,47.0,-9999.0
0.0,48.0,-9999.0
0.0,49.0,-9999.0
0.0,50.0,-9999.0
0.0,51.0,-9999.0
0.0,52.0,-9999.0
0.0,53.0,-9999.0
0.0,54.0,-9999.0
0.0,55.0,-9999.0
0.0,56.0,-9999.0
0.0,57.0,-9999.0
0.0,58.0,-9999.0
0.0,59.0,-9999.0
0.0,60.0,-9999.0
0.0,61.0,-9999.0
0.0,62.0,-9999.0
0.0,63.0,-9999.0
0.0,64.0,-16.050539
0.0,65.0,-9999.0
0.0,66.0,-9999.0
0.0,67.0,-9999.0
0.0,68.0,-9999.0
0.0,69.0,-9999.0
0.0,70.0,-9999.0
0.0,71.0,-9999.0
0.0,72.0,-9999.0
0.0,73.0,-9999.0
0.0,74.0,-9999.0
0.0,75.0,-9999.0
0.0,76.0,-9999.0
0.0,77.0,-9999.0
0.0,78.0,-9999.0
0.0,79.0,-9999.0
0.0,80.0,-9999.0
0.0,81.0,-9999.0
0.0,82.0,-9999.0
0.0,83.0,-9999.0
0.0,84.0,-9999.0
0.0,85.0,-9999.0
0.0,86.0,-9999.0
0.0,87.0,-9999.0
0.0,88.0,-9999.0
1.0,0.0,-9999.0
1.0,1.0,-9999.0
1.0,2.0,-9999.0
1.0,3.0,-9999.0
1.0,4.0,-9999.0
1.0,5.0,-9999.0
1.0,6.0,-9999.0
1.0,7.0,-9999.0
1.0,8.0,-9999.0
1.0,9.0,-9999.0
1.0,10.0,-9999.0
1.0,11.0,-9999.0
1.0,12.0,-9999.0
1.0,13.0,-9999.0
1.0,14.0,-9999.0
1.0,15.0,-9999.0
1.0,16.0,-9999.0
1.0,17.0,-9999.0
1.0,18.0,-9999.0
1.0,19.0,-8.4258263
1.0,20.0,-9.0927514
1.0,21.0,-10.100065
1.0,22.0,-10.641834
1.0,23.0,-9.0999818
1.0,24.0,-9.1111743
1.0,25.0,-9999.0
1.0,26.0,-9999.0
1.0,27.0,-9999.0
1.0,28.0,-9999.0
1.0,29.0,-9999.0
1.0,30.0,-9999.0
1.0,31.0,-9999.0
1.0,32.0,-9999.0
1.0,33.0,-9999.0
1.0,34.0,-9999.0
1.0,35.0,-9999.0
1.0,36.0,-9999.0
1.0,37.0,-9999.0
1.0,38.0,-10.420424
1.0,39.0,-11.135427
1.0,40.0,-11.616693
1.0,41.0,-11.522862
1.0,42.0,-11.253756
1.0,43.0,-12.236923
1.0,44.0,-9999.0
1.0,45.0,-9999.0
1.0,46.0,-9999.0
1.0,47.0,-9999.0
1.0,48.0,-9999.0
1.0,49.0,-9999.0
1.0,50.0,-9999.0
1.0,51.0,-9999.0
1.0,52.0,-9999.0
1.0,53.0,-9999.0
1.0,54.0,-9999.0
1.0,55.0,-9999.0
1.0,56.0,-9999.0
1.0,57.0,-9999.0
1.0,58.0,-9999.0
1.0,59.0,-9999.0
1.0,60.0,-13.788082
1.0,61.0,-12.911729
1.0,62.0,-13.331834
1.0,63.0,-13.519115
1.0,64.0,-13.939213
1.0,65.0,-13.962086
1.0,66.0,-14.807576
1.0,67.0,-14.198377
1.0,68.0,-13.397114
1.0,69.0,-9999.0
1.0,70.0,-9999.0
1.0,71.0,-9999.0
1.0,72.0,-9999.0
1.0,73.0,-9999.0
1.0,74.0,-9999.0
1.0,75.0,-9999.0
1.0,76.0,-9999.0
1.0,77.0,-9999.0
1.0,78.0,-9999.0
1.0,79.0,-9999.0
1.0,80.0,-9999.0
1.0,81.0,-9999.0
1.0,82.0,-9999.0
1.0,83.0,-9999.0
1.0,84.0,-9999.0
1.0,85.0,-9999.0
1.0,86.0,-9999.0
1.0,87.0,-9999.0
1.0,88.0,-9999.0
2.0,0.0,-9999.0
2.0,1.0,-2.5428038
2.0,2.0,-3.5269425
2.0,3.0,-3.8676701
2.0,4.0,-4.0151537
2.0,5.0,-4.6702467
2.0,6.0,-6.1241339
2.0,7.0,-7.2173343
2.0,8.0,-5.9658595
2.0,9.0,-5.5027898
2.0,10.0,-6.5832261
2.0,11.0,-6.8553728
2.0,12.0,-5.5112156
2.0,13.0,-5.6016831
2.0,14.0,-6.8587005
2.0,15.0,-4.2414846
2.0,16.0,-4.8196254
2.0,17.0,-6.4769152
2.0,18.0,-8.3459876
2.0,19.0,-7.6139586
2.0,20.0,-7.776439
2.0,21.0,-8.9620728
2.0,22.0,-9.6873304
2.0,23.0,-8.6404142
2.0,24.0,-8.7641967
2.0,25.0,-10.17678
2.0,26.0,-10.160225
2.0,27.0,-9.1913749
2.0,28.0,-9.5079951
2.0,29.0,-10.574246
2.0,30.0,-9.9760935
2.0,31.0,-9.475148
2.0,32.0,-10.039499
2.0,33.0,-10.698329
2.0,34.0,-10.290508
2.0,35.0,-10.980806
2.0,36.0,-11.198382
2.0,37.0,-10.410095
2.0,38.0,-10.192546
2.0,39.0,-10.473798
2.0,40.0,-11.066857
2.0,41.0,-10.926728
2.0,42.0,-10.781652
2.0,43.0,-11.66894
2.0,44.0,-13.014011
2.0,45.0,-11.753235
2.0,46.0,-11.074772
2.0,47.0,-11.822524
2.0,48.0,-12.280887
2.0,49.0,-11.241294
2.0,50.0,-11.243328
2.0,51.0,-11.361931
2.0,52.0,-11.166874
2.0,53.0,-10.983083
2.0,54.0,-11.788133
2.0,55.0,-13.353537
2.0,56.0,-12.583709
2.0,57.0,-12.318072
2.0,58.0,-13.668698
2.0,59.0,-14.943507
2.0,60.0,-13.387378
2.0,61.0,-12.804908
2.0,62.0,-13.105144
2.0,63.0,-13.219436
2.0,64.0,-13.145608
2.0,65.0,-13.443472
2.0,66.0,-14.244762
2.0,67.0,-13.852501
2.0,68.0,-13.293504
2.0,69.0,-13.845566
2.0,70.0,-9999.0
2.0,71.0,-9999.0
2.0,72.0,-9999.0
2.0,73.0,-9999.0
2.0,74.0,-9999.0
2.0,75.0,-9999.0
2.0,76.0,-9999.0
2.0,77.0,-9999.0
2.0,78.0,-9999.0
2.0,79.0,-9999.0
2.0,80.0,-9999.0
2.0,81.0,-9999.0
2.0,82.0,-9999.0
2.0,83.0,-9999.0
2.0,84.0,-9999.0
2.0,85.0,-9999.0
2.0,86.0,-9999.0
2.0,87.0,-9999.0
2.0,88.0,-9999.0
3.0,0.0,-9999.0
3.0,1.0,-9999.0
3.0,2.0,-9999.0
3.0,3.0,-3.6895046
3.0,4.0,-3.7861315
3.0,5.0,-3.8806842
3.0,6.0,-4.0671186
3.0,7.0,-4.2130646
3.0,8.0,-4.1424078
